id,category,update,media,date,title,title_en,English Headline,url,translation_en,is_deleted,alternative,archive
3281,non_fiction,2020-03-11,财新网,2020-03-09,武汉新型冠状病毒肺炎大事记（2020年1月21日—今）,,"Major Events in the Wuhan New Coronavirus Pneumonia Outbreak (January 21, 2020 to now) ",http://www.caixin.com/2020-03-09/101506971.html,,,,http://archive.ph/Yv0gG
715,non_fiction,2020-02-10,人物/每日人物,2020-02-10,「千奇百怪的出警，都跟新冠肺炎有关」,"Police call-outs to the field for thousands of weird reasons, all concerning Coronavirus (COVID-19)",,https://mp.weixin.qq.com/s/KbFax4bUb8SYZn5v7QY9Jw,https://github.com/memoryhonest/nCovMemory-en/blob/master/docs/2020-02-10/thousands_weird_police_call_outs.md,,,http://archive.ph/MZyVe
376,non_fiction,2020-02-07,人物/每日人物,2020-02-07,普通人李文亮,Li Wenliang: An ordinary person,,https://mp.weixin.qq.com/s/I1J3wCbfbMP7AecP1_Ie2A,https://github.com/memoryhonest/nCovMemory-en/blob/master/docs/2020-02-07/liwenliang_an_ordinary_person.md,,,http://archive.is/nDykY
359,non_fiction,2020-02-06,北青深一度,2020-02-02,一个武汉红十字会志愿者的自述,,Verbal Account From a Wuhan Red Cross Volunteer,https://mp.weixin.qq.com/s/f-5AC4hP2M06Va48CsLRxQ,,,,https://archive.ph/fc7Td
358,non_fiction,2020-02-06,北青深一度,2020-02-01,新冠病毒出现多例“两阴后变阳”病例，专家称临床不应轻易排除,,"Multiple Patients Tested 2019-nCoV Negative Before Testing Positive, Expert Suggests Not to Exclude Negative Results",https://mp.weixin.qq.com/s/ROO6IRPYUHHnJzHnCR88sQ,,,,https://archive.ph/HF5xY
357,non_fiction,2020-02-06,北青深一度,2020-01-29,武汉城外的重负：地县乡三级抗疫遭遇的百万返乡潮,,Burden Outside of Wuhan: The Millions Returning to Villages and Towns Challenge Disease Control,https://mp.weixin.qq.com/s/o36treeC6mAJSzd92bKLZQ,,,,https://archive.ph/oDYjA
356,non_fiction,2020-02-06,北青深一度,2020-01-28,“中国顶级SARS病房”专家童朝晖：目前重症患者没有减少趋势，核酸检测已引入第三方,,"Tong Chaohui, the Expert From China’s Top SARS Patient Ward: No Signs of Fewer Patients in Critical Condition, Third Party Companies Started Diagnostic Test. ",https://mp.weixin.qq.com/s/NBdAjSF8WAYYuSq9d2hYYA,,,,https://archive.ph/O9IsU
355,non_fiction,2020-02-06,北青深一度,2020-01-28,武汉街头的“摆渡人”：每分钟处理1000条信息，不是不怕感染，停了医护人员怎么上班,,"Volunteer Drivers in Wuhan: They Receive 1000 Messages Every Minute; They Are Afraid of Being Infected; But If They Stop, How Can Medics Go to Work?",https://mp.weixin.qq.com/s/fUtAhkgUZvpLHEAvX6O-Tg,,,,https://archive.ph/cze3f
353,non_fiction,2020-02-06,北青深一度,2020-01-26,自我隔离的抗疫医生：没人去坐市民的爱心车，骂跑要来陪的女朋友,,"Doctor Under Self-Quarantine: No Doctor Took a Ride From Volunteers, He Chased Away Girlfriend Who Came to Accompany Him   ",https://mp.weixin.qq.com/s/iq3iNFpnqchhr1_dZDv8HA,,,,https://archive.ph/otPCi
352,non_fiction,2020-02-06,北青深一度,2020-01-25,武汉除夕故事：照顾发烧的丈夫，妻子穿上一次性塑料雨衣,,Wuhan New Year’s Eve Story: Wife Dons Disposable Raincoat to Take Care of Husband Who Has Fever,https://mp.weixin.qq.com/s/9vU-JV6adRw62muBydqT0Q,,,,https://archive.ph/1AHJN
350,non_fiction,2020-02-06,北青深一度,2020-01-21,一个武汉肺炎康复患者的样本观察：我与新型冠状病毒搏斗的22天,,A Sample Observation of a Recovering Pneumonia Patient in Wuhan: My 22-Day Fight Against the New Coronavirus ,https://mp.weixin.qq.com/s/Ps5lUon8LMCxLrPGwqKjMg,,,,https://archive.ph/cMxZj
345,non_fiction,2020-02-06,冰点周刊,2020-01-28,钟南山发话前，武汉这位医生向附近学校发出疫情警报,,"Before Zhong Nanshan Spoke, This Doctor in Wuhan Warned Nearby Schools About Epidemic",https://mp.weixin.qq.com/s/IzzCnz4Yr2jEIYZePiu_ow,,,,https://archive.ph/lvZhv
342,non_fiction,2020-02-06,冰点周刊,2020-01-26,三個年輕人和100萬隻口罩,,Three Young People and One Million Masks,https://mp.weixin.qq.com/s/2lopW3OCS2FIK4KSaZBY-w,,,,https://archive.ph/myEic
341,non_fiction,2020-02-06,冰点周刊,2020-01-25,中青報記者大年初一探訪武漢市第五醫院,,Reporters From China Youth Daily Visit Wuhan No.5 Hospital on the First Day of Lunar New Year,https://mp.weixin.qq.com/s/EdIVxRLtkUZPGD_L4pXOBA,,,,https://archive.ph/gAEI2
340,non_fiction,2020-02-06,冰点周刊,2020-01-24,全國人在吃年夜飯 他們在建「武漢小湯山」,,"While the Whole Nation Is Having New Year’s Eve Meal, They Are Building “Xiaotangshan Hospital” in Wuhan",https://mp.weixin.qq.com/s/BsKYzzw0CH9e-jQTa76iGQ,,,,https://archive.ph/jK9Nz
339,non_fiction,2020-02-06,冰点周刊,2020-01-23,肺炎疫情中的人們,,People in a Pneumonia Epidemic,https://mp.weixin.qq.com/s/kUY_Sr3s52pn4jfs8RK60A,,,,https://archive.ph/IltEn
337,non_fiction,2020-02-06,冰点周刊,2020-01-22,新型肺炎疫情防控下的武汉生活,,Life in Wuhan Under 2019-nCoV Prevention and Control,https://mp.weixin.qq.com/s/cg4qHhta8nLx93PDaW1dHQ,,,,https://archive.ph/KijR8
331,non_fiction,2020-02-06,剥洋葱people,2020-01-31,黄冈“小汤山”的志愿服务48小时,,The 48 Hours of a Volunteer for Huanggang’s “Xiaotangshan” Hospital,https://mp.weixin.qq.com/s/FefTq9st-CqqEPTL02D-Kg,,,,https://archive.ph/KSl5B
330,non_fiction,2020-02-06,剥洋葱people,2020-01-31,武汉医生驿站 ：为4万人次提供住宿 有退出也有坚守,,"Wuhan Hotels for Doctors: Provided Accommodation for 40,000 People; Some Quit, Some Persisted.   ",https://mp.weixin.qq.com/s/9xE1nK4DkFcutVCsG7WNaA,,,,https://archive.ph/iTHtH
329,non_fiction,2020-02-06,剥洋葱people,2020-01-30,武汉某定点医院被隔离的医生：曾一晚接诊200名患者,,A Quarantined Doctor at Designated Hospital in Wuhan: Once Treated 200 Patients a Night,https://mp.weixin.qq.com/s/W5_q5hIl2TXKjkwKPQj0Ng,,,,https://archive.ph/DiLpu
328,non_fiction,2020-02-06,剥洋葱people,2020-01-28,一个河北县城的防疫：建成隔离病区，医护缺乏专业口罩,,"Epidemic Prevention in a Hebei County: Isolation Wards Built, Lack of Professional Masks for Medical Workers  ",https://mp.weixin.qq.com/s/K8K3KJiTbOhXW8_x_-eCJg,,,,https://archive.ph/vQypN
327,non_fiction,2020-02-06,剥洋葱people,2020-01-27,绿色通道、通行证、医院证明：医疗捐赠物资出入武汉记,,"Green Pass, Travel Permit, and Hospital Certification: How Medical Donations Go in and out of Wuhan ",https://mp.weixin.qq.com/s/R-iXDgYd3ZZLBLiLEzxH9g,,,,https://archive.ph/DQGB0
